model,val_mae,val_rmse,val_r2,val_mape,val_within_10pct_rate,test_mae,test_rmse,test_r2,test_mape,test_within_10pct_rate,test_rmse_improvement_vs_naive_pct
HistGBR,202361.5126321184,404783.94043666375,0.7401816788938022,0.39847074749963,0.2854107908135233,216082.63981739493,393489.2706136952,0.7196974474218065,0.338131853490262,0.2427496244520065,57.58193983562834
RandomForest,202493.46674960505,414854.2742652153,0.7270931965721847,0.3829804364439881,0.2792205413721109,215149.4015349781,396947.2180253025,0.7147492544566469,0.3289066494053486,0.232226616389221,57.2091738358794
Ridge,320986.0028744253,603695.513745668,0.4220914477203629,0.5699008518693085,0.169774000952346,375218.6078372845,562967.6616246094,0.4262427846609975,0.7449818644976526,0.1090085532971581,39.312205122786445
ElasticNet,320974.44350281154,604208.998222865,0.4211079278301105,0.5693599622403962,0.1695176000879088,374925.8774312616,563113.3993925663,0.4259456844014456,0.7438578087221187,0.1088859253809129,39.2964946222186
MLP_medium,231529.359375,448223.7247089895,0.6814241261633176,0.4936741252896386,0.2900260063733929,444363.375,645104.304570974,0.2466077362658728,0.851831516054809,0.1093381158220669,30.45789238189631
MLPRegressor,231529.359375,448223.7247089895,0.6814241261633176,0.4936741252896386,0.2900260063733929,444363.375,645104.304570974,0.2466077362658728,0.851831516054809,0.1093381158220669,30.45789238189631
MLP_large,240508.21875,480800.6804654087,0.633433009845503,0.4899204223145406,0.2667301564045273,477584.4375,721999.155944105,0.05629851928406,0.8874569592410204,0.1143505318985867,22.16864366416428
TorchMLP,203908.5152094933,428184.9839838557,0.7092725156100601,0.4006536076959408,0.3121497381048313,470268.2897383906,729943.3073752701,0.0354171743526744,0.7964556939960323,0.1057435850271314,21.31226581976592
MLP_small,256480.84375,468588.1580065804,0.6518183855812314,0.550021496803803,0.2601369913189993,619645.375,838729.3350110034,-0.2735176198447104,1.1733343886664072,0.0592752690149912,9.58515504467753
NaiveMedian,558363.558404454,965708.341638282,-0.4788195731298765,0.564835079809174,0.0405113365810776,561898.9785247862,927645.6044640152,-0.5578493060400271,0.5697271358378062,0.0353015113890677,0.0
