epoch,train_loss,val_rmse
1,0.10428338183030006,514787.7068114784
2,0.06702008843421936,485987.9805746958
3,0.06322604701403649,470722.5727913541
4,0.06124294900125073,466628.973695526
5,0.059592156280432976,459695.59725561884
6,0.05848697034582015,455006.9206239194
7,0.057679532949001557,471247.49904697476
8,0.056816546402631264,481891.03567933495
9,0.05599608034376175,447266.14654920326
10,0.05537469802844909,441493.37339049455
11,0.05486322518798613,447548.48469433945
12,0.05437320526088438,495559.5907147839
13,0.053729569551444825,439695.87230046093
14,0.053600871586991894,455207.54806272197
15,0.05306653639962596,463788.70271416823
16,0.052708122686993694,456313.5110458331
17,0.05231962340974038,448984.94419964997
18,0.05195857697436886,470632.6447111705
19,0.05164596685959447,507827.7857557619
20,0.051431509419795005,462430.7967477698
21,0.051103637439589344,428184.9839838557
22,0.05108498308447099,514633.49435045396
23,0.05092457004131809,558571.7052834384
24,0.05050631509192528,486196.5596742935
25,0.050553417205810545,437969.64205383
26,0.0502827709961322,441505.75427474215
27,0.050155556730685696,521232.0313900096
28,0.049589187940282206,518816.57999493915
29,0.04959310877227014,518999.12637898786
30,0.049652946019364944,447508.1818489634
31,0.049593173616355464,486591.4353180989
